date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-02-27,78.0,400.0,1.0,12.0,,,6.61574439992122,0.1984723319976366,
2020-02-28,250.0,650.0,5.0,17.0,,,10.750584649871982,0.28116913699665186,
2020-02-29,238.0,888.0,4.0,21.0,,,14.686952567825108,0.34732658099586405,
2020-03-01,240.0,1128.0,8.0,29.0,,,18.656399207777838,0.47964146899428844,
2020-03-02,561.0,1689.0,6.0,35.0,,,27.93498072866735,0.5788776349931067,
2020-03-03,347.0,2036.0,17.0,52.0,,,33.67413899559901,0.8600467719897585,
2020-03-04,466.0,2502.0,28.0,80.0,,,41.38148122150723,1.323148879984244,
2020-03-05,587.0,3089.0,27.0,107.0,,,51.09008612839162,1.7697116269789264,
2020-03-06,769.0,3858.0,41.0,148.0,,,63.80885473724016,2.447825427970851,
2020-03-07,778.0,4636.0,49.0,197.0,,,76.67647759508694,3.2582541169612007,
2020-03-08,1247.0,5883.0,36.0,233.0,,,97.30106076184134,3.8536711129541104,
2020-03-09,1492.0,7375.0,133.0,366.0,,,121.97778737354749,6.053406125927916,
2020-03-10,1797.0,9172.0,98.0,464.0,,,151.69901909019356,7.674263503908615,
2020-03-11,977.0,10149.0,167.0,631.0,,,167.85797478700115,10.436336790875725,
2020-03-12,2313.0,12462.0,196.0,827.0,,,206.1135167795456,13.678051546837121,
2020-03-13,2651.0,15113.0,189.0,1016.0,,,249.95936279002348,16.8039907757999,
2020-03-14,2547.0,17660.0,252.0,1268.0,,,292.0851152565219,20.971909747750267,
2020-03-15,3497.0,21157.0,173.0,1441.0,,,349.9232606728331,23.833219200716194,
2020-03-16,2823.0,23980.0,370.0,1811.0,,,396.6138767752771,29.95278277064332,
2020-03-17,4000.0,27980.0,347.0,2158.0,,,462.7713207744893,35.69194103757498,
2020-03-18,3526.0,31506.0,347.0,2505.0,,,521.0891076597949,41.43109930450664,
2020-03-19,4207.0,35713.0,473.0,2978.0,,,590.6701993859663,49.254217057413484,
2020-03-20,5322.0,41035.0,429.0,3407.0,,,678.6926786269181,56.34960292632899,
2020-03-21,5986.0,47021.0,625.0,4032.0,,,777.6972935717392,66.6867035512059,
2020-03-22,6557.0,53578.0,795.0,4827.0,,,886.1458836474478,79.83549554604932,
2020-03-23,5560.0,59138.0,649.0,5476.0,,,978.1047308063527,90.5695408349215,
2020-03-24,4789.0,63927.0,601.0,6077.0,,,1057.3117306344095,100.50969679580314,
2020-03-25,5249.0,69176.0,743.0,6820.0,,,1144.1268365223757,112.7984420186568,
2020-03-26,5210.0,74386.0,685.0,7505.0,,,1230.2969073313495,124.12790430352189,
2020-03-27,6153.0,80539.0,660.0,8165.0,,,1332.0635955631378,135.0438825633919,
2020-03-28,5959.0,86498.0,971.0,9136.0,,,1430.6216477609642,151.10360209420065,
2020-03-29,5974.0,92472.0,887.0,10023.0,,,1529.4277903737875,165.77401530102597,
2020-03-30,5217.0,97689.0,758.0,10781.0,,,1615.71363670976,178.31085093887668,
2020-03-31,4050.0,101739.0,810.0,11591.0,,,1682.6980487589624,191.70773334871714,
2020-04-01,4053.0,105792.0,839.0,12430.0,,,1749.7320788911643,205.58425722755192,
2020-04-02,4782.0,110574.0,727.0,13157.0,,,1828.8233031922223,217.6083726744087,
