id,name,added_at,duration_sec,popularity,artists,genres
7FsmRwTyZhtmd19Djb3LTb,Static,2023-02-21T03:16:11Z,175.78300000000002,44,"[{'artist': 'Landon Conrath', 'artist_id': '2PJ06l59DomDd440az768u'}]",['indie poptimism']
2W3z2ZY7j35tyUh1FNJ3jM,Infinitely Ordinary,2023-02-21T03:11:16Z,172.986,43,"[{'artist': 'The Wrecks', 'artist_id': '458aS6ALc3QkzwfR5USt34'}]","['la indie', 'modern alternative rock', 'modern rock', 'rock']"
6Xve7pWqzW6CQV8mlXzpBe,Strawberry Sunscreen,2023-02-21T03:09:25Z,129.0,62,"[{'artist': 'Lostboycrow', 'artist_id': '5PxCTrv3Y1xVACfngpt7D2'}]","['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'indietronica', 'pop']"
4DxybsoSiMUW0JI2oM0SSN,Patience,2023-02-20T11:05:35Z,202.066,61,"[{'artist': 'Take That', 'artist_id': '1XgFuvRd7r5g0h844A5ZUQ'}]","['boy band', 'dance pop', 'europop']"
34Yx1C3PBF986YzL3jfuuR,Howling at the Moon,2023-02-20T06:55:06Z,185.78300000000002,41,"[{'artist': 'Milow', 'artist_id': '6mo0UbyIvIePdXNyLwQlk5'}]","['belgian pop', 'belgian rock', 'belgian singer-songwriter', 'dutch pop', 'dutch rock', 'german pop']"
14JfRLooUoQr5fvr7bdZAY,Look Into My Eyes,2023-02-20T06:53:52Z,243.346,22,"[{'artist': 'Outlandish', 'artist_id': '5tqMW5dSAlvh0GvgD3XfDy'}]",['danish pop']
0xmjwnQ3FNE6HuWCt2nHdZ,Where Is The Love?,2023-02-20T06:51:39Z,272.533,77,"[{'artist': 'Black Eyed Peas', 'artist_id': '1yxSLGMDHlW21z4YXirZDS'}]","['dance pop', 'pop', 'pop rap']"
2W5acFzXf5FrktecuD30Or,One Love,2023-02-20T06:49:19Z,207.186,59,"[{'artist': 'Blue', 'artist_id': '2yEkZBBjhzKzt6LF5XMaFi'}]","['boy band', 'dance pop', 'europop']"
1cRuI7DN1z2FO3boRPmagR,Aicha,2023-02-20T02:47:42Z,275.746,36,"[{'artist': 'Outlandish', 'artist_id': '5tqMW5dSAlvh0GvgD3XfDy'}]",['danish pop']
6ocOeSjnWPcSTaSsi0zIdY,Aao Milo Chalo,2023-02-19T07:23:29Z,325.933,61,"[{'artist': 'Pritam', 'artist_id': '1wRPtKGflJrBx9BmLsSwlU'}, {'artist': 'Shaan', 'artist_id': '5cB4d4jPYjMT326sjihQ4m'}, {'artist': 'Sultan Khan', 'artist_id': '2eOZNXw0A4cQKmsVPpIcMY'}]","['filmi', 'indian instrumental', 'modern bollywood', 'desi pop', 'hindustani classical', 'hindustani instrumental', 'indian classical']"
